,顧客ID,Unnamed: 0,商品コード,売上,明細ID,スコア
0,000112093,,,,,
1,000121059,,,,,
2,000321123,,,,,
3,000331001,,,,,
4,000431039,,,,,
5,000512107,,,,,
6,000612072,,,,,
7,000651028,,,,,
8,000651042,,,,,
9,000711087,,,,,
10,000721111,,,,,
11,000741001,,,,,
12,000751046,,,,,
13,000812016,,,,,
14,001110167,,,,,
15,001120290,,,,,
16,001120350,,,,,
17,001150376,,,,,
18,001150435,,,,,
19,001310100,,,,,
20,001321014,,,,,
21,001511020,,,,,
22,001730012,,,,,
23,001811022,,,,,
24,002110094,,,,,
25,002110175,,,,,
26,002112136,,,,,
27,002112528,,,,,
28,002112548,,,,,
29,002112659,,,,,
30,002112660,,,,,
31,002112676,,,,,
32,002120096,,,,,
33,002120206,,,,,
34,002121269,,,,,
35,002121295,,,,,
36,002122338,,,,,
37,002122348,,,,,
38,002122370,,,,,
39,002122607,,,,,
40,002122651,,,,,
41,002122737,,,,,
42,002122857,,,,,
43,002122874,,,,,
44,002122990,,,,,
45,002123168,,,,,
46,002123189,,,,,
47,002123192,,,,,
48,002123228,,,,,
49,002123244,,,,,
50,002123261,,,,,
51,002123272,,,,,
52,002123295,,,,,
53,002123297,,,,,
54,002123298,,,,,
55,002123300,,,,,
56,002132352,,,,,
57,002132353,,,,,
58,002140012,,,,,
59,002142134,,,,,
60,002142152,,,,,
61,002152059,,,,,
62,002152765,,,,,
63,002152833,,,,,
64,002152849,,,,,
65,002152923,,,,,
66,002152955,,,,,
67,002153002,,,,,
68,002153051,,,,,
69,002153095,,,,,
70,002153138,,,,,
71,002153142,,,,,
72,002153166,,,,,
73,002153173,,,,,
74,002153174,,,,,
75,002153175,,,,,
76,002153176,,,,,
77,002153177,,,,,
78,002212263,,,,,
79,002212366,,,,,
80,002212894,,,,,
81,002212967,,,,,
82,002212971,,,,,
83,002212973,,,,,
84,002212976,,,,,
85,002212978,,,,,
86,002212979,,,,,
87,002212980,,,,,
88,002212981,,,,,
89,002220105,,,,,
90,002222176,,,,,
91,002222195,,,,,
92,002222307,,,,,
93,002222375,,,,,
94,002222388,,,,,
95,002222401,,,,,
96,002232351,,,,,
97,002232369,,,,,
98,002232383,,,,,
99,002232386,,,,,
100,002232387,,,,,
101,002232388,,,,,
102,002242010,,,,,
103,002251012,,,,,
104,002251240,,,,,
105,002252268,,,,,
106,002252292,,,,,
107,002252403,,,,,
108,002252456,,,,,
109,002252531,,,,,
110,002252541,,,,,
111,002252564,,,,,
112,002252646,,,,,
113,002252697,,,,,
114,002252703,,,,,
115,002252704,,,,,
116,002252708,,,,,
117,002252709,,,,,
118,002311149,,,,,
119,002312096,,,,,
120,002312708,,,,,
121,002312793,,,,,
122,002312794,,,,,
123,002312797,,,,,
124,002312870,,,,,
125,002312875,,,,,
126,002312876,,,,,
127,002312881,,,,,
128,002312890,,,,,
129,002312894,,,,,
130,002312895,,,,,
131,002312897,,,,,
132,002321013,,,,,
133,002322187,,,,,
134,002322335,,,,,
135,002322538,,,,,
136,002322551,,,,,
137,002322599,,,,,
138,002322604,,,,,
139,002322609,,,,,
140,002322615,,,,,
141,002322616,,,,,
142,002322621,,,,,
143,002322625,,,,,
144,002322627,,,,,
145,002332270,,,,,
146,002332313,,,,,
147,002332460,,,,,
148,002332530,,,,,
149,002342092,,,,,
150,002342118,,,,,
151,002352031,,,,,
152,002411247,,,,,
153,002411289,,,,,
154,002412443,,,,,
155,002412649,,,,,
156,002412885,,,,,
157,002412928,,,,,
158,002412940,,,,,
159,002413004,,,,,
160,002413059,,,,,
161,002413091,,,,,
162,002413092,,,,,
163,002413105,,,,,
164,002413108,,,,,
165,002413119,,,,,
166,002413131,,,,,
167,002413135,,,,,
168,002422108,,,,,
169,002432011,,,,,
170,002432182,,,,,
171,002432208,,,,,
172,002451112,,,,,
173,002452268,,,,,
174,002512412,,,,,
175,002512488,,,,,
176,002512657,,,,,
177,002512719,,,,,
178,002512736,,,,,
179,002512737,,,,,
180,002522238,,,,,
181,002522243,,,,,
182,002522244,,,,,
183,002522245,,,,,
184,002552115,,,,,
185,002552161,,,,,
186,002610121,,,,,
187,002612073,,,,,
188,002612346,,,,,
189,002612541,,,,,
190,002612555,,,,,
191,002612568,,,,,
192,002612583,,,,,
193,002612606,,,,,
194,002612607,,,,,
195,002622078,,,,,
196,002630057,,,,,
197,002631145,,,,,
198,002631152,,,,,
199,002632193,,,,,
200,002632206,,,,,
201,002632237,,,,,
202,002632263,,,,,
203,002632279,,,,,
204,002632507,,,,,
205,002632517,,,,,
206,002632518,,,,,
207,002632519,,,,,
208,002652165,,,,,
209,002652252,,,,,
210,002711224,,,,,
211,002712524,,,,,
212,002712575,,,,,
213,002722007,,,,,
214,002722349,,,,,
215,002722379,,,,,
216,002722424,,,,,
217,002722451,,,,,
218,002722485,,,,,
219,002752182,,,,,
220,002752219,,,,,
221,002752281,,,,,
222,002812133,,,,,
223,002812166,,,,,
224,002812277,,,,,
225,002812718,,,,,
226,002812725,,,,,
227,002812729,,,,,
228,002812738,,,,,
229,002812739,,,,,
230,002812740,,,,,
231,002852125,,,,,
232,002852169,,,,,
233,002852345,,,,,
234,002852364,,,,,
235,002852368,,,,,
236,002852369,,,,,
237,002912118,,,,,
238,002912264,,,,,
239,002912282,,,,,
240,002912316,,,,,
241,003112049,,,,,
242,003122063,,,,,
243,003122077,,,,,
244,003122083,,,,,
245,003122090,,,,,
246,003210149,,,,,
247,003222027,,,,,
248,003222028,,,,,
249,003332053,,,,,
250,003342015,,,,,
251,003412085,,,,,
252,003452002,,,,,
253,003452010,,,,,
254,003512047,,,,,
255,003632034,,,,,
256,003712033,,,,,
257,003722051,,,,,
258,003812035,,,,,
259,003812036,,,,,
260,004122066,,,,,
261,005111146,,,,,
262,005141032,,,,,
263,005222012,,,,,
264,005332132,,,,,
265,005342037,,,,,
266,005411031,,,,,
267,005412116,,,,,
268,005412221,,,,,
269,005511131,,,,,
270,005522020,,,,,
271,005522050,,,,,
272,005652029,,,,,
273,005711086,,,,,
