,顧客ID,コンタクト回数
0,194450007,4
1,203440006,4
2,136220034,3
3,002212978,3
4,060112062,3
5,068005707,3
6,230650001,3
7,026552042,3
8,007332035,3
9,006232263,3
10,145510014,3
11,175410024,3
12,071712030,2
13,007812053,2
14,056212023,2
15,127150042,2
16,028152265,2
17,054522036,2
18,005141032,2
19,072522018,2
20,063622222,2
21,002121269,2
22,018751007,2
23,101250054,2
24,035332010,2
25,078332048,2
26,089430029,2
27,127150069,2
28,143630107,2
29,072752042,2
30,198410088,2
31,038342029,2
32,061322040,2
33,037252220,2
34,011122349,2
35,211630004,2
36,204450003,2
37,014722010,2
38,120210098,2
39,029732067,2
40,149120095,2
41,211230009,2
42,040722016,2
43,137750002,2
44,015121015,2
45,085250064,2
46,078222035,2
47,071212157,2
48,172330022,2
49,143720101,2
50,002112136,2
51,119310097,2
52,086710067,2
53,038522047,2
54,016322141,2
55,162750052,2
56,149510104,2
57,053212478,2
58,209410025,1
59,006152667,1
60,053332342,1
61,143550038,1
62,065412067,1
63,011232096,1
64,066512114,1
65,006612107,1
66,071222042,1
67,056612022,1
68,071732030,1
69,132120012,1
70,002252709,1
71,143310172,1
72,137610021,1
73,101410031,1
74,203520010,1
75,029239584,1
76,055212195,1
77,231140003,1
78,053122754,1
79,109750050,1
80,085440011,1
81,026452052,1
82,143650048,1
83,006222236,1
84,006152517,1
85,066252068,1
86,016732067,1
87,093852065,1
88,119330124,1
89,215810004,1
90,063712436,1
91,188610020,1
92,029112292,1
93,060312119,1
94,214510004,1
95,143710156,1
96,011922006,1
97,006232244,1
98,006152189,1
99,072912062,1
100,162450064,1
101,149120090,1
102,096320027,1
103,028352019,1
104,177410055,1
105,002852368,1
106,236440001,1
107,002612346,1
108,044732009,1
109,180220007,1
110,002412885,1
111,202250018,1
112,060552015,1
113,006152332,1
114,078612086,1
115,006322190,1
116,198120046,1
117,032722124,1
118,149630082,1
119,060752034,1
120,143630032,1
121,143210239,1
122,179210034,1
123,029322150,1
124,045312051,1
125,191110023,1
126,015812163,1
127,063912112,1
128,037852188,1
129,144410024,1
130,131310029,1
131,170230021,1
132,002552115,1
133,224220005,1
134,045122321,1
135,011512196,1
136,063722298,1
137,194330026,1
138,120110124,1
139,002112548,1
140,072212090,1
141,191450002,1
142,006122540,1
143,053412736,1
144,T00261529,1
145,149910022,1
146,194120012,1
147,053512483,1
148,137410021,1
149,170610003,1
150,066112129,1
151,096720018,1
152,063112247,1
153,192830001,1
154,136720044,1
155,032712139,1
156,202750008,1
157,215810010,1
158,061322042,1
159,211120039,1
160,162810047,1
161,038632186,1
162,002332530,1
163,038322218,1
164,139520025,1
165,053912194,1
166,039412094,1
167,006732117,1
168,143450059,1
169,002252403,1
170,009442018,1
171,042432025,1
172,053122787,1
173,055512064,1
174,053622216,1
175,009752074,1
176,035152126,1
177,151410029,1
178,104730024,1
179,189720012,1
180,097750003,1
181,006632298,1
182,025632109,1
183,213710009,1
184,043312089,1
185,179250020,1
186,156630035,1
187,002251012,1
188,119150177,1
189,053312572,1
190,147620014,1
191,053612356,1
192,063122604,1
193,036112245,1
194,190320009,1
195,219620008,1
196,083322075,1
197,161550003,1
198,072732013,1
199,037312263,1
200,002152059,1
201,087522039,1
202,003412085,1
203,066212110,1
204,037812338,1
205,009722100,1
206,177410036,1
207,085210032,1
208,118630008,1
209,191310042,1
210,140220031,1
211,037512363,1
212,143310231,1
213,002322599,1
214,063412481,1
215,002631145,1
216,060812097,1
217,085110050,1
218,177710085,1
219,168110007,1
220,002123189,1
221,168250010,1
222,194610018,1
223,211120034,1
224,162210193,1
225,175120021,1
226,137130011,1
227,076112050,1
228,063332146,1
229,170250046,1
230,006112388,1
231,219130005,1
232,055852091,1
233,037332076,1
234,002512736,1
235,198850028,1
236,159120022,1
237,221310006,1
238,143810154,1
239,143850072,1
240,120720087,1
241,120310157,1
242,078122161,1
243,101150075,1
244,006752151,1
245,T00248274,1
246,029212137,1
247,177410121,1
248,196320004,1
249,053412747,1
250,037612291,1
251,099620029,1
252,084812062,1
253,207410026,1
254,177850056,1
255,128810026,1
256,005412221,1
257,177330042,1
258,149110028,1
259,209720011,1
260,003122063,1
261,006152598,1
262,089310040,1
263,035252216,1
264,068005698,1
265,204150003,1
266,032412226,1
267,154710051,1
268,007152107,1
269,065522011,1
270,053632315,1
271,002342118,1
272,T00261261,1
273,057112063,1
274,037152043,1
275,053552082,1
276,063412255,1
277,032122318,1
278,069812096,1
279,143250168,1
280,075852039,1
281,061652032,1
282,143810193,1
283,011712140,1
284,162310107,1
285,192710007,1
286,037452116,1
287,120710094,1
288,011122352,1
289,006811119,1
290,093712038,1
291,011312218,1
292,065212056,1
293,170910013,1
294,063852215,1
295,162720110,1
296,120410151,1
297,204220004,1
298,053852246,1
299,204620006,1
300,057212057,1
301,100720012,1
302,084512072,1
303,071252085,1
304,032412242,1
305,060252094,1
306,063122609,1
307,071622054,1
308,042452011,1
309,119410113,1
