,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
0,112093,なし,なし,あり,なし,あり,
3,121059,なし,なし,なし,なし,なし,
6,321123,なし,なし,なし,なし,なし,
10,331001,なし,なし,なし,なし,なし,
14,431039,あり,なし,なし,なし,なし,
20,512107,なし,なし,なし,なし,なし,
21,612072,なし,なし,なし,なし,なし,
25,651028,なし,なし,なし,なし,なし,
27,651042,なし,なし,なし,なし,あり,
28,711087,なし,なし,なし,なし,なし,
32,721111,なし,なし,なし,なし,なし,
34,741001,なし,なし,あり,なし,あり,
37,741001,なし,なし,なし,なし,なし,
38,751046,なし,なし,なし,なし,なし,
42,812016,なし,なし,なし,なし,なし,
45,1110167,なし,なし,なし,なし,なし,
48,1120290,なし,なし,なし,なし,なし,
49,1120290,あり,なし,なし,なし,なし,
51,1120350,なし,なし,なし,なし,なし,
56,1150376,あり,あり,なし,なし,なし,
63,1150435,なし,なし,なし,なし,なし,
66,1310100,なし,なし,あり,なし,なし,
71,1321014,なし,なし,あり,なし,なし,
74,1511020,なし,なし,あり,なし,なし,
77,1730012,なし,あり,あり,あり,あり,
84,1730012,なし,なし,なし,なし,なし,
86,1811022,なし,なし,なし,なし,なし,
88,1811022,なし,なし,なし,なし,なし,
90,2110094,なし,なし,なし,なし,なし,
94,2110175,なし,なし,なし,なし,なし,
97,2112136,なし,なし,あり,なし,なし,
103,2112528,あり,なし,なし,なし,なし,
107,2112548,なし,あり,なし,なし,なし,
116,2112659,あり,なし,なし,なし,なし,
117,2112660,なし,なし,なし,なし,なし,
118,2112660,なし,なし,あり,なし,なし,
119,2112676,なし,あり,あり,なし,なし,
127,2120096,なし,なし,あり,なし,なし,
129,2120206,なし,なし,あり,なし,なし,
131,2121269,なし,なし,なし,なし,なし,
132,2121295,なし,なし,あり,なし,なし,
134,2122338,なし,なし,なし,なし,なし,
136,2122348,あり,あり,なし,なし,なし,
148,2122370,なし,なし,なし,なし,なし,
150,2122607,なし,あり,なし,なし,なし,
158,2122651,なし,なし,なし,なし,なし,
160,2122737,なし,なし,なし,なし,なし,
162,2122857,なし,なし,あり,なし,なし,
163,2122874,なし,なし,なし,なし,なし,
164,2122874,なし,なし,なし,なし,なし,
166,2122990,なし,なし,あり,なし,なし,
168,2123168,なし,なし,なし,なし,なし,
169,2123168,なし,あり,なし,なし,なし,
172,2123168,なし,なし,なし,なし,なし,
174,2123168,なし,なし,なし,なし,なし,
175,2123189,なし,なし,あり,なし,なし,
179,2123192,なし,あり,なし,なし,なし,
191,2123228,なし,あり,なし,なし,なし,
199,2123244,なし,なし,なし,なし,なし,
202,2123261,なし,なし,なし,なし,なし,
203,2123272,なし,なし,なし,なし,なし,
204,2123295,なし,なし,あり,なし,なし,
207,2123295,なし,なし,あり,なし,なし,
211,2123297,なし,なし,あり,なし,なし,
214,2123298,なし,あり,なし,なし,なし,
219,2123298,なし,なし,なし,なし,なし,
220,2123298,なし,なし,なし,なし,なし,
221,2123300,なし,なし,あり,なし,なし,
224,2132352,なし,なし,あり,なし,なし,
225,2132353,なし,なし,あり,なし,なし,
227,2132353,なし,なし,なし,なし,なし,
229,2140012,あり,なし,なし,なし,なし,
234,2142134,なし,なし,あり,なし,なし,
237,2142152,なし,なし,なし,なし,なし,
239,2142152,なし,なし,なし,なし,なし,
243,2152059,なし,あり,なし,なし,なし,
251,2152765,なし,なし,なし,なし,なし,
253,2152833,なし,なし,あり,なし,あり,
257,2152849,なし,あり,なし,なし,なし,
259,2152923,なし,あり,なし,なし,なし,
262,2152923,なし,なし,なし,なし,なし,
263,2152955,なし,なし,あり,なし,なし,
266,2153002,なし,なし,なし,なし,なし,
268,2153002,なし,なし,なし,なし,なし,
273,2153051,なし,なし,あり,なし,なし,
277,2153095,なし,なし,なし,なし,なし,
