顧客ID,施術時間
112093,60
121059,90
321123,60
331001,30
431039,75
512107,60
612072,75
651028,60
651042,60
711087,90
721111,60
741001,90
751046,60
812016,30
1110167,60
1120290,120
1120350,60
1150376,75
1150435,30
1310100,90
1321014,75
1511020,60
1730012,90
1811022,120
2110094,75
2110175,60
2112136,45
2112528,60
2112548,150
2112659,60
2112660,45
2112676,90
2120096,60
2120206,60
2121269,60
2121295,30
2122338,60
2122348,180
2122370,60
2122607,30
2122651,90
2122737,60
2122857,75
2122874,105
2122990,60
2123168,135
2123189,30
2123192,75
2123228,45
2123244,30
2123261,60
2123272,45
2123295,105
2123297,60
2123298,165
2123300,90
2132352,60
2132353,135
2140012,75
2142134,60
2142152,135
2152059,75
2152765,60
2152833,120
2152849,60
2152923,90
2152955,60
2153002,120
2153051,45
2153095,90
2153138,30
2153142,45
2153166,45
2153173,105
2153174,75
2153175,60
2153176,60
2153177,90
2212263,60
2212366,60
2212894,45
2212967,75
2212971,135
2212973,45
2212976,120
2212978,180
2212979,90
2212980,60
2212981,60
2220105,30
2222176,60
2222195,30
2222307,90
2222375,75
2222388,45
2222401,120
2232351,30
2232369,30
2232383,30
2232386,60
2232387,105
2232388,105
2242010,60
2251012,30
2251240,60
2252268,15
2252292,60
2252403,60
2252456,45
2252531,60
2252541,75
2252564,75
2252646,45
2252697,60
2252703,45
2252704,45
2252708,75
2252709,60
2311149,60
2312096,60
2312708,75
2312793,75
2312794,60
2312797,90
2312870,60
2312875,90
2312876,45
2312881,60
2312890,45
2312894,60
2312895,120
2312897,90
2321013,75
2322187,90
2322335,30
2322538,90
2322551,120
2322599,45
2322604,105
2322609,90
2322615,15
2322616,30
2322621,45
2322625,105
2322627,195
2332270,60
2332313,60
2332460,75
2332530,90
2342092,60
2342118,120
2352031,75
2411247,60
2411289,30
2412443,60
2412649,195
2412885,30
2412928,75
2412940,90
2413004,30
2413059,30
2413091,60
2413092,60
2413105,75
2413108,75
2413119,45
2413131,45
2413135,45
2422108,45
2432011,60
2432182,75
2432208,30
2451112,75
2452268,135
2512412,90
2512488,90
2512657,15
2512719,60
2512736,90
2512737,45
2522238,75
2522243,75
2522244,75
2522245,90
2552115,45
2552161,45
2610121,60
2612073,60
2612346,15
2612541,135
2612555,60
2612568,30
2612583,90
2612606,120
2612607,30
2622078,60
2630057,60
2631145,15
2631152,90
2632193,195
2632206,75
2632237,45
2632263,75
2632279,60
2632507,45
2632517,15
2632518,75
2632519,120
2652165,75
2652252,90
2711224,15
2712524,75
2712575,90
2722007,75
2722349,135
2722379,30
2722424,30
2722451,75
2722485,30
2752182,75
2752219,135
2752281,60
2812133,60
2812166,60
2812277,75
2812718,60
2812725,60
2812729,45
2812738,165
2812739,105
2812740,60
2852125,30
2852169,90
2852345,30
2852364,45
2852368,150
2852369,90
2912118,60
2912264,75
2912282,45
2912316,90
3112049,225
3122063,30
3122077,75
3122083,30
3122090,30
3210149,60
3222027,30
3222028,15
3332053,90
3342015,120
3412085,30
3452002,30
3452010,15
3512047,90
3632034,90
3712033,60
3722051,120
3812035,30
3812036,180
4122066,0
5111146,60
5141032,90
5222012,60
5332132,75
5342037,105
5411031,60
5412116,60
5412221,60
5511131,60
5522020,75
5522050,90
5652029,60
5711086,90
5752067,60
6112072,60
6112114,30
6112388,30
6112396,30
6112433,45
6112434,150
6112435,60
6112436,105
6121155,60
6122048,150
6122292,90
6122540,210
6122632,60
6122698,30
6122735,75
6122736,90
6122762,135
6122763,45
6122772,90
6122773,90
6132191,120
6132195,150
6141027,30
6142101,90
6152160,60
6152189,45
6152195,90
6152218,30
6152221,120
6152301,45
6152313,90
6152332,60
6152517,60
6152550,60
6152598,285
6152634,90
