売上単価,数量,商品コード
8640,1,200006
540,1,300004
1944,1,600019
8640,1,200006
3240,1,300007
3240,1,300017
0,1,1B1402
0,1,1B1403
540,1,300004
329,1,600006
8640,1,200073
-864,1,400021
2160,1,300011
1080,1,300003
8640,1,200006
8640,1,200073
0,1,200005
540,1,300004
0,1,300005
-3456,1,400021
0,1,1B2103
0,1,1B2102
2052,4,200081
1700,1,600027
486,2,25600041
8640,1,200006
3240,1,300008
0,1,1B2202
8640,1,200006
8640,1,200073
2160,1,300011
-1728,1,400021
8640,1,200006
540,1,300004
0,1,1B2202
2160,1,300012
0,3,1A1507
0,1,1B2202
16200,1,200071
5400,1,300014
1700,1,600031
810,1,600058
540,1,0705A0097
43200,1,0705A0065
0,1,70000037
0,1,1B2102
1944,1,600019
324,2,15600031
0,1,5A0014
0,1,1B2203
540,1,300004
8640,1,200006
540,1,300004
1404,1,600090
1047,1,600065
-864,1,400021
0,1,1B2202
0,1,1B2203
0,1,1B2295
540,1,300004
28080,1,1B2201
-2160,2,400543
2160,2,200035
8640,1,200073
5400,1,300014
-1728,1,400021
8640,1,200006
8640,1,200073
3240,1,300017
2160,1,300011
2376,1,600095
8640,1,200006
8640,1,200073
1080,1,300013
0,1,1B2102
540,1,300004
2376,1,600022
28080,1,1B2201
0,1,1B2202
-2214,2,400543
2160,1,200035
2160,1,300012
2160,1,300011
2268,1,200082
0,1,1B2203
540,1,300004
540,1,T00001
10800,1,200020
0,1,200021
10800,1,200020
0,1,1B2102
8640,1,200073
-864,1,400021
540,1,300004
0,1,1B2102
3240,1,300017
1404,1,600090
16200,1,200071
710,1,1435A0088
2160,1,300011
1080,1,300013
1944,2,200080
2052,2,200081
8640,1,200006
-864,1,400021
3240,1,300008
810,2,600056
28080,1,1B2201
0,1,1B2203
0,1,1B2209
0,4,1B2207
-2268,2,400543
2268,2,200082
540,1,300004
2160,1,300011
0,1,1B2295
8640,1,200009
30,1,2
0,1,1A1502
0,1,200032
105840,1,1A1501
0,1,1A1503
0,1,1A1504
-10800,1,2
0,1,1A1517
0,1,1A1518
0,1,1A1533
0,1,1B2102
540,1,300004
8640,1,200006
540,1,300004
0,1,1B2102
0,1,1B2295
0,1,1B2202
16200,1,200071
1080,1,300013
11880,1,200051
-1188,1,400021
0,1,1B2203
540,1,300004
0,1,1B1802
0,1,400554
-123,1,400560
810,3,600058
38880,1,1B1801
2376,1,600096
1700,1,600029
1944,1,600019
8640,1,200006
540,1,300004
0,1,1B2202
5400,1,300014
-540,1,400555
391,5,600001
529,1,53600013
28080,1,1B2201
1944,2,200080
-1944,2,400543
0,1,5A0014
0,1,5A0028
8640,1,200006
540,1,300004
0,1,1B2102
0,1,5A0029
8640,1,200073
8640,1,200006
8640,1,200006
540,1,300004
0,1,5A0014
28080,1,1B2201
2268,2,200082
-2268,2,400543
0,1,1B2202
2160,1,300011
0,1,5A0023
8640,1,200073
2160,1,300011
2160,1,300012
-1728,1,400021
0,1,300104
28080,1,1B2201
0,1,1B2202
0,1,1B2203
2160,1,300011
1080,1,300013
1944,2,200080
-1944,2,400543
391,4,600002
2376,2,600096
2376,1,600095
0,4,1B2204
16200,1,200071
-3240,1,400021
-1944,2,400543
1944,2,200080
0,4,1B2205
28080,1,1B2201
1080,1,300013
2160,1,300011
8640,1,200073
2160,1,300011
1944,1,200080
0,1,1B2102
0,1,1A1602
0,1,200049
16200,1,200101
0,1,200102
0,1,200103
0,2,200104
0,1,200110
2052,2,200081
8640,1,200073
0,1,400548
5400,1,300014
105840,1,1A1501
0,1,1A1503
0,1,1A1518
0,1,1A1517
0,1,1A1532
0,1,1A1504
0,1,1A1505
