,顧客ID,商品コード,売上単価,数量,売上,明細ID
0,112093,200006,8640,1,8640,1430000220901
3,121059,200006,8640,1,8640,380000323621
14,431039,200006,8640,1,8640,1130000059161
25,651028,200006,8640,1,8640,110000408341
28,711087,200006,8640,1,8640,60000739291
32,721111,200006,8640,1,8640,160000639261
38,751046,200071,16200,1,16200,390000123721
51,1120350,200006,8640,1,8640,60000740121
60,1150376,1B2201,28080,1,28080,20001631615
66,1310100,200006,8640,1,8640,20001632251
71,1321014,200006,8640,1,8640,1430000225961
77,1730012,1B2201,28080,1,28080,1430000221561
97,2112136,200071,16200,1,16200,1430000219561
103,2112528,200006,8640,1,8640,20001635061
107,2112548,1B2201,28080,1,28080,1560000026161
120,2112676,1A1501,105840,1,105840,20001635392
129,2120206,200006,8640,1,8640,20001634771
134,2122338,200071,16200,1,16200,2050000006581
148,2122370,200006,8640,1,8640,380000323191
155,2122607,1B2201,28080,1,28080,20001636466
160,2122737,200006,8640,1,8640,380000322581
165,2122874,200006,8640,1,8640,20001634382
166,2122990,200006,8640,1,8640,1940000026781
169,2123168,1B2201,28080,1,28080,20001635761
180,2123192,1B2201,28080,1,28080,20001627852
191,2123228,200071,16200,1,16200,20001628011
196,2123228,1B2201,28080,1,28080,20001628016
214,2123298,1A1501,105840,1,105840,20001632841
221,2123300,200071,16200,1,16200,20001635851
230,2140012,200006,8640,1,8640,20001628272
245,2152059,1B2201,28080,1,28080,20001638073
253,2152833,200006,8640,1,8640,1430000223161
257,2152849,1B2201,28080,1,28080,380000322711
263,2152955,200006,8640,1,8640,20001632571
279,2153095,200006,8640,1,8640,280000297633
280,2153138,1B2201,28080,1,28080,20001636761
294,2153173,200006,8640,1,8640,20001630051
307,2153177,200071,16200,1,16200,20001634661
310,2212263,1B2201,28080,1,28080,1430000220271
325,2212894,200071,16200,1,16200,1200000289611
344,2212976,1A1501,105840,1,105840,20001631632
346,2212976,1B2201,28080,1,28080,20001631634
356,2212978,200006,8640,1,8640,20001638001
365,2212979,1A1601,82080,1,82080,20001637641
376,2222307,1B2201,28080,1,28080,550000201091
382,2222375,1B2201,28080,1,28080,20001634741
394,2222401,1A1601,82080,1,82080,20001629452
409,2232383,1B2201,28080,1,28080,20001627972
413,2232387,1A1501,105840,1,105840,20001635881
414,2232387,1B2201,28080,1,28080,20001635882
422,2232388,1A1501,105840,1,105840,20001638911
424,2242010,200071,16200,1,16200,550000202251
426,2251012,1B2201,28080,1,28080,110000408411
427,2251240,1B2201,28080,1,28080,20001631661
