,顧客ID,滞在時間
0,000121059,511.0
1,000321123,0.0
2,000331001,348.0
3,000431039,14.0
4,000512107,496.0
5,000612072,33.0
6,000651028,3.0
7,000651042,73.0
8,000711087,269.0
9,000721111,195.0
10,000741001,0.0
11,000751046,317.0
12,000812016,13.0
13,001110167,0.0
14,001120290,0.0
15,001120350,476.0
16,001150376,5.0
17,001150435,172198.0
18,001310100,0.0
19,001321014,92.0
20,001511020,0.0
21,001730012,37.0
22,001811022,63.0
23,002110094,413.0
24,002110175,0.0
25,002112136,33.0
26,002112528,356.0
27,002112548,186.0
28,002112659,210.0
29,002112660,0.0
30,002112676,732.0
31,002120096,269.0
32,002120206,137.0
33,002121269,0.0
34,002121295,129.0
35,002122338,573.0
36,002122348,75.0
37,002122370,1346.0
38,002122607,16.0
39,002122651,44.0
40,002122737,210.0
41,002122857,155.0
42,002122874,99.0
43,002122990,0.0
44,002123168,60.0
45,002123189,1317.0
46,002123192,0.0
47,002123228,79.0
48,002123244,44.0
49,002123261,152.0
50,002123272,0.0
51,002123295,107.0
52,002123297,116.0
53,002123298,123.0
54,002123300,216.0
55,002132352,255.0
56,002132353,247.0
57,002140012,0.0
58,002142134,0.0
59,002142152,81.0
60,002152059,0.0
61,002152765,19.0
62,002152833,82.0
63,002152849,311.0
64,002152923,23.0
65,002152955,86645.0
66,002153002,4.0
67,002153051,3.0
68,002153095,49.0
69,002153138,0.0
70,002153142,56.0
71,002153166,0.0
72,002153173,20.0
73,002153174,558.0
74,002153175,134.0
75,002153176,220.0
76,002153177,51.0
77,002212263,47.0
78,002212366,355.0
79,002212894,367.0
80,002212967,276.0
81,002212971,0.0
82,002212973,269.0
83,002212976,193.0
84,002212978,511.0
85,002212979,1999.0
86,002212980,96.0
87,002212981,329.0
88,002220105,1942.0
89,002222176,75.0
90,002222195,317.0
91,002222307,275.0
92,002222375,630.0
93,002222388,0.0
94,002222401,0.0
95,002232351,68.0
96,002232369,498.0
97,002232383,5129.0
98,002232386,144.0
99,002232387,181.0
100,002232388,415.0
101,002242010,448.0
102,002251012,35.0
103,002251240,40.0
104,002252268,61.0
105,002252292,311.0
106,002252403,140.0
107,002252456,0.0
108,002252531,610.0
109,002252541,0.0
110,002252564,0.0
