,顧客ID,閲覧ページ総数
0,025322055,690
1,006122048,647
2,057112063,627
3,002123189,623
4,053212478,594
5,070122049,549
6,038122056,549
7,T00261529,547
8,026632016,470
9,036142042,450
10,002220105,444
11,155610043,443
12,021321017,443
13,192720022,434
14,007332040,425
15,120410151,419
16,021152060,416
17,035512316,401
18,084812062,397
19,143210233,382
20,061322042,378
21,038912098,376
22,124520010,375
23,028152265,367
24,168720013,363
25,177810082,360
26,069322014,359
27,078222035,359
28,063112314,354
29,035152322,350
30,071552031,349
31,T00257599,348
32,211120038,343
33,143150283,341
34,117450011,341
35,133710052,338
36,002122370,336
37,028412257,332
38,002432208,330
39,038332200,329
40,011712051,326
41,120210150,323
42,143320040,320
43,002552115,318
44,028652012,317
45,148520016,314
46,141120008,313
47,096220026,310
48,203150024,307
49,053412746,302
50,162120110,301
51,043142019,300
52,209320018,297
53,063332120,296
54,073122100,291
55,189120046,290
56,053552026,287
57,057612055,286
58,162750004,283
59,177210157,278
60,006232262,278
61,180320027,277
62,002212979,276
63,009722100,276
64,149210102,276
65,075852039,276
66,143120223,272
67,069812096,272
68,007812054,270
69,037232180,269
70,037452116,266
71,119230032,262
72,160510019,262
73,002630057,260
74,075222034,258
75,143110180,257
76,209850007,255
77,063522229,253
78,102410059,252
79,112250024,248
80,002322625,243
81,155710006,238
82,037122494,236
83,170120078,236
84,011612135,235
85,200730005,234
86,070512008,234
87,060112115,234
88,038632142,234
89,156110018,230
90,218430002,229
91,211810001,229
92,101250057,229
93,071712030,229
94,068003737,228
95,036632142,224
96,109410137,221
97,081852007,219
98,178150025,217
99,025152116,216
100,230330004,216
101,002413091,215
102,203440006,215
103,179250020,214
104,101150075,212
105,086810110,212
106,112120038,211
107,138910005,208
108,060812097,207
109,002332313,207
110,006422044,206
111,065412067,205
112,032712139,204
113,139810033,204
114,213410021,203
115,006322270,203
116,138620004,202
117,071622054,202
118,034312048,201
119,035252216,201
120,023652069,201
121,045322022,199
122,125810032,199
123,015712160,198
124,037612201,198
125,188120042,197
126,146110030,197
127,007632028,197
128,134450001,196
