,顧客ID,登録区分
0,000112093,HP
1,000121059,HP
2,000321123,店舗
5,000331001,店舗
6,000512107,HP
7,000651042,HP
8,000711087,HP
9,000741001,店舗
10,000751046,店舗
11,001110167,店舗
12,001120350,HP
13,001150376,店舗
14,001150435,店舗
16,001321014,HP
17,001511020,店舗
19,001730012,店舗
21,001811022,店舗
25,002110094,店舗
26,002112136,CC
28,002112528,店舗
29,002112548,CC
30,002112659,店舗
31,002112676,店舗
38,002120096,店舗
40,002120206,店舗
41,002121269,CC
43,002121295,HP
44,002122338,HP
45,002122348,店舗
48,002122370,HP
50,002122607,店舗
51,002122737,HP
52,002122857,HP
53,002123168,店舗
59,002123189,HP
60,002123192,店舗
64,002123228,店舗
65,002123261,HP
67,002123272,店舗
68,002123295,HP
70,002123297,HP
71,002123298,店舗
76,002123300,HP
78,002132352,HP
79,002132353,HP
84,002140012,店舗
86,002142134,店舗
87,002142152,店舗
88,002152059,店舗
89,002152833,HP
90,002152849,HP
91,002152923,店舗
93,002152955,HP
95,002153002,店舗
97,002153051,店舗
98,002153095,HP
100,002153138,店舗
101,002153166,店舗
102,002153173,HP
104,002153174,HP
106,002153175,HP
107,002153176,HP
108,002153177,HP
110,002212263,店舗
111,002212366,HP
114,002212894,HP
115,002212967,HP
117,002212971,店舗
119,002212976,HP
124,002212978,CC
127,002212979,HP
135,002212980,HP
136,002212981,HP
137,002220105,店舗
141,002222176,店舗
142,002222195,HP
144,002222375,HP
148,002222401,店舗
152,002232351,店舗
153,002232369,HP
154,002232383,店舗
155,002232386,HP
157,002232387,HP
162,002232388,HP
168,002242010,HP
169,002251012,店舗
171,002251240,店舗
173,002252268,HP
174,002252403,CC
175,002252531,HP
176,002252541,店舗
178,002252646,HP
179,002252703,店舗
180,002252708,店舗
185,002252709,CC
187,002311149,HP
188,002312096,店舗
189,002312793,店舗
190,002312794,HP
191,002312797,店舗
192,002312870,店舗
193,002312875,店舗
194,002312876,店舗
196,002312881,HP
199,002312894,HP
205,002312895,HP
210,002312897,HP
211,002321013,店舗
212,002322187,HP
213,002322335,店舗
214,002322538,店舗
216,002322551,店舗
219,002322599,店舗
220,002322604,店舗
221,002322615,HP
222,002322616,HP
223,002322621,店舗
224,002322625,HP
230,002322627,HP
236,002332270,HP
239,002332313,HP
241,002332460,店舗
245,002332530,HP
250,002342118,HP
251,002352031,店舗
252,002411247,HP
254,002411289,HP
255,002412649,店舗
259,002412885,店舗
260,002412928,店舗
261,002412940,店舗
263,002413004,店舗
264,002413091,HP
265,002413092,店舗
267,002413108,店舗
268,002413119,店舗
270,002413135,店舗
271,002432011,店舗
272,002432182,HP
273,002432208,HP
274,002451112,店舗
275,002452268,店舗
276,002512412,HP
280,002512488,店舗
281,002512657,HP
282,002512719,店舗
283,002512736,HP
290,002512737,店舗
291,002522238,店舗
292,002522243,店舗
298,002522244,HP
300,002522245,HP
307,002552115,HP
308,002552161,店舗
309,002610121,店舗
311,002612346,CC
312,002612568,店舗
314,002612583,店舗
315,002612606,HP
321,002612607,HP
322,002622078,店舗
323,002630057,HP
324,002631145,店舗
325,002631152,店舗
327,002632193,店舗
330,002632206,店舗
331,002632237,店舗
332,002632279,店舗
333,002632507,HP
336,002632517,店舗
339,002632518,店舗
340,002632519,HP
346,002652165,店舗
347,002652252,HP
352,002711224,店舗
353,002712524,HP
354,002722349,店舗
361,002722379,HP
362,002722424,店舗
363,002722451,店舗
364,002752182,店舗
365,002752219,店舗
368,002812133,店舗
369,002812166,店舗
370,002812277,店舗
371,002812718,HP
374,002812725,HP
375,002812738,店舗
378,002812739,HP
385,002812740,HP
391,002852169,店舗
394,002852345,店舗
395,002852368,店舗
401,002852369,HP
404,002912118,店舗
405,002912264,店舗
406,002912316,店舗
407,003112049,店舗
411,003122063,HP
414,003122077,店舗
415,003122083,店舗
416,003122090,店舗
417,003210149,店舗
418,003222027,HP
419,003222028,店舗
420,003332053,HP
422,003342015,HP
425,003412085,店舗
427,003452002,店舗
428,003452010,店舗
429,003512047,HP
431,003632034,HP
432,003712033,HP
433,003722051,HP
436,003812035,HP
438,003812036,HP
442,005111146,店舗
443,005141032,CC
444,005222012,HP
445,005332132,HP
446,005342037,店舗
447,005411031,店舗
449,005412116,HP
450,005511131,店舗
451,005522020,店舗
452,005522050,HP
453,005652029,店舗
454,005711086,店舗
457,006112072,HP
458,006112114,店舗
460,006112388,HP
463,006112396,店舗
464,006112433,店舗
466,006112434,HP
469,006112435,HP
471,006112436,HP
474,006121155,店舗
475,006122048,HP
479,006122292,店舗
480,006122540,CC
484,006122632,店舗
485,006122698,HP
486,006122735,HP
487,006122736,HP
488,006122762,店舗
491,006122763,HP
492,006122773,HP
493,006132191,店舗
494,006132195,HP
498,006141027,HP
499,006142101,HP
500,006152160,HP
501,006152189,店舗
503,006152195,店舗
505,006152221,HP
508,006152301,HP
