,顧客ID,状況,指名区分,予約回数
0,000121059,予確済,なし,1
1,000321123,予確済,なし,1
2,000321123,予約,なし,2
3,000331001,予約,なし,1
4,000512107,予確済,なし,1
5,000651042,予確済,なし,1
6,000711087,予確済,なし,1
7,000741001,予確済,なし,1
8,000751046,予確済,なし,1
9,001110167,予約,あり,1
10,001120350,予確済,なし,1
11,001150376,予約,あり,1
12,001150435,予確済,なし,1
13,001150435,取消,なし,1
14,001321014,予確済,なし,1
15,001511020,予約,なし,2
16,001730012,予確済,なし,1
17,001730012,予約,なし,1
18,001811022,予確済,なし,2
19,001811022,予約,なし,1
20,001811022,取消,なし,1
21,002110094,予約,あり,1
22,002112136,予確済,なし,1
23,002112136,仮予約,なし,1
24,002112528,予約,あり,1
25,002112548,予確済,なし,1
26,002112659,取消,あり,1
27,002112676,予確済,なし,1
28,002112676,予約,なし,4
29,002112676,取消,なし,1
30,002112676,変更取消,なし,1
31,002120096,予約,なし,1
32,002120096,変更取消,なし,1
33,002120206,予約,なし,1
34,002121269,予確済,なし,1
35,002121269,予約,なし,1
36,002121295,予確済,なし,1
37,002122338,予確済,なし,1
38,002122348,予約,あり,2
39,002122348,予約,なし,1
40,002122370,予確済,なし,1
41,002122370,取消,なし,1
42,002122607,予約,なし,1
43,002122737,予確済,なし,1
44,002122857,予確済,なし,1
45,002123168,予確済,なし,4
46,002123168,予約,なし,2
47,002123189,予確済,なし,1
48,002123192,予約,なし,4
49,002123228,予確済,なし,1
50,002123261,予確済,なし,1
51,002123261,予約,なし,1
52,002123272,予約,なし,1
53,002123295,予確済,なし,2
54,002123297,予確済,なし,1
55,002123298,予確済,なし,2
56,002123298,予約,なし,3
57,002123300,予確済,なし,1
58,002123300,予約,なし,1
59,002132352,予確済,なし,1
60,002132353,予確済,なし,2
61,002132353,予約,なし,3
62,002140012,予約,あり,2
63,002142134,予約,なし,1
64,002142152,予約,なし,1
65,002152059,予確済,なし,1
66,002152833,予確済,なし,1
67,002152849,予確済,なし,1
68,002152923,予約,なし,2
69,002152955,予確済,なし,1
70,002152955,予約,なし,1
71,002153002,予約,なし,2
72,002153051,予約,なし,1
73,002153095,予確済,なし,1
74,002153095,仮予約,なし,1
75,002153138,予約,なし,1
76,002153166,予約,なし,1
77,002153173,予確済,なし,2
78,002153174,予確済,なし,2
79,002153175,予確済,なし,1
80,002153176,予確済,なし,1
81,002153177,予確済,なし,1
82,002153177,予約,なし,1
83,002212263,予確済,なし,1
84,002212366,予確済,なし,1
85,002212366,予約,なし,2
86,002212894,予確済,なし,1
87,002212967,予確済,なし,2
88,002212971,予約,なし,2
89,002212976,予確済,なし,2
90,002212976,予約,なし,3
91,002212978,予確済,なし,3
92,002212979,予確済,なし,3
93,002212979,予約,なし,3
94,002212979,取消,なし,1
95,002212979,変更取消,なし,1
96,002212980,予確済,なし,1
97,002212981,予確済,なし,1
98,002220105,予確済,あり,1
99,002220105,変更取消,あり,3
100,002222176,予約,なし,1
101,002222195,予確済,なし,1
102,002222195,変更取消,なし,1
103,002222375,予確済,なし,2
104,002222375,予約,なし,1
105,002222375,変更取消,なし,1
106,002222401,予確済,なし,1
107,002222401,予約,なし,3
108,002232351,予確済,なし,1
109,002232369,予約,あり,1
110,002232383,予約,なし,1
111,002232386,予確済,なし,1
112,002232386,取消,なし,1
113,002232387,予確済,なし,2
114,002232387,予約,なし,3
115,002232388,予確済,なし,2
116,002232388,予約,なし,4
117,002242010,予確済,なし,1
118,002251012,予確済,なし,1
119,002251012,予約,なし,1
120,002251240,予約,なし,2
121,002252268,予確済,なし,1
122,002252403,予確済,なし,1
123,002252531,予確済,なし,1
124,002252541,予約,あり,2
125,002252646,予確済,なし,1
126,002252703,予約,なし,1
127,002252708,予確済,なし,3
128,002252708,予約,なし,2
129,002252709,予確済,なし,2
130,002311149,予確済,なし,1
131,002312096,予約,あり,1
132,002312793,予約,あり,1
