,顧客ID,閲覧ページ数/セッション
0,000121059,76.0
1,000321123,0.0
2,000331001,90.0
3,000431039,2.0
4,000512107,101.0
5,000612072,5.0
6,000651028,1.0
7,000651042,19.0
8,000711087,59.0
9,000721111,29.0
10,000741001,0.0
11,000751046,55.0
12,000812016,2.0
13,001110167,0.0
14,001120290,0.0
15,001120350,65.0
16,001150376,1.0
17,001150435,6.0
18,001310100,0.0
19,001321014,25.0
20,001511020,0.0
21,001730012,2.0
22,001811022,1.0
23,002110094,24.0
24,002110175,0.0
25,002112136,1.0
26,002112528,99.0
27,002112548,15.0
28,002112659,31.0
29,002112660,0.0
30,002112676,93.0
31,002120096,33.0
32,002120206,38.0
33,002121269,0.0
34,002121295,22.0
35,002122338,48.0
36,002122348,8.0
37,002122370,276.0
38,002122607,4.0
39,002122651,4.0
40,002122737,31.0
41,002122857,18.0
42,002122874,18.0
43,002122990,0.0
44,002123168,12.0
45,002123189,314.0
46,002123192,0.0
47,002123228,19.0
48,002123244,9.0
49,002123261,36.0
50,002123272,0.0
51,002123295,24.0
52,002123297,23.0
53,002123298,19.0
54,002123300,39.0
55,002132352,32.0
56,002132353,31.0
57,002140012,0.0
58,002142134,0.0
59,002142152,17.0
60,002152059,0.0
61,002152765,1.0
62,002152833,24.0
63,002152849,32.0
64,002152923,3.0
65,002152955,82.0
66,002153002,2.0
67,002153051,1.0
68,002153095,16.0
69,002153138,0.0
70,002153142,7.0
71,002153166,0.0
72,002153173,6.0
73,002153174,68.0
74,002153175,35.0
75,002153176,60.0
76,002153177,28.0
77,002212263,14.0
78,002212366,47.0
79,002212894,64.0
80,002212967,39.0
81,002212971,0.0
82,002212973,26.0
83,002212976,25.0
84,002212978,88.0
85,002212979,186.0
86,002212980,23.0
87,002212981,31.0
88,002220105,348.0
89,002222176,17.0
90,002222195,72.0
91,002222307,38.0
92,002222375,114.0
93,002222388,0.0
94,002222401,0.0
95,002232351,14.0
96,002232369,81.0
97,002232383,20.0
98,002232386,41.0
99,002232387,35.0
100,002232388,57.0
101,002242010,47.0
102,002251012,9.0
103,002251240,1.0
104,002252268,12.0
105,002252292,29.0
106,002252403,18.0
107,002252456,0.0
108,002252531,127.0
109,002252541,0.0
110,002252564,0.0
111,002252646,30.0
112,002252697,12.0
113,002252703,51.0
114,002252704,2.0
115,002252708,25.0
116,002252709,1.0
117,002311149,19.0
118,002312096,0.0
119,002312708,0.0
120,002312793,0.0
121,002312794,75.0
122,002312797,21.0
123,002312870,7.0
124,002312875,1.0
125,002312876,27.0
126,002312881,47.0
127,002312890,4.0
128,002312894,75.0
129,002312895,85.0
130,002312897,79.0
131,002321013,0.0
132,002322187,35.0
133,002322335,0.0
134,002322538,0.0
135,002322551,0.0
136,002322599,9.0
137,002322604,5.0
138,002322609,3.0
139,002322615,10.0
140,002322616,79.0
141,002322621,0.0
142,002322625,109.0
143,002322627,22.0
144,002332270,96.0
145,002332313,86.0
146,002332460,5.0
147,002332530,92.0
148,002342092,0.0
149,002342118,45.0
150,002352031,1.0
151,002411247,26.0
152,002411289,37.0
153,002412443,3.0
154,002412649,22.0
155,002412885,22.0
156,002412928,0.0
157,002412940,0.0
158,002413004,2.0
159,002413059,3.0
160,002413091,162.0
161,002413092,4.0
162,002413105,11.0
163,002413108,0.0
164,002413119,0.0
165,002413131,1.0
166,002413135,0.0
167,002422108,0.0
168,002432011,13.0
169,002432182,20.0
170,002432208,177.0
171,002451112,0.0
172,002452268,4.0
173,002512412,95.0
174,002512488,0.0
175,002512657,6.0
176,002512719,26.0
177,002512736,1.0
178,002512737,55.0
179,002522238,4.0
180,002522243,0.0
181,002522244,23.0
182,002522245,74.0
183,002552115,179.0
184,002552161,0.0
185,002610121,0.0
186,002612073,12.0
187,002612346,0.0
188,002612541,37.0
189,002612555,0.0
190,002612568,22.0
191,002612583,0.0
192,002612606,14.0
193,002612607,43.0
194,002622078,9.0
195,002630057,158.0
196,002631145,13.0
197,002631152,4.0
198,002632193,3.0
199,002632206,6.0
200,002632237,0.0
201,002632263,0.0
202,002632279,10.0
203,002632507,59.0
204,002632517,6.0
205,002632518,1.0
206,002632519,32.0
207,002652165,0.0
208,002652252,24.0
209,002711224,50.0
210,002712524,45.0
211,002712575,0.0
212,002722007,35.0
213,002722349,0.0
214,002722379,37.0
215,002722424,1.0
216,002722451,1.0
217,002722485,9.0
218,002752182,17.0
219,002752219,2.0
220,002752281,21.0
221,002812133,14.0
222,002812166,3.0
223,002812277,0.0
224,002812718,84.0
225,002812725,84.0
226,002812729,54.0
227,002812738,2.0
228,002812739,50.0
229,002812740,48.0
230,002852125,0.0
231,002852169,10.0
232,002852345,0.0
233,002852364,2.0
234,002852368,6.0
235,002852369,34.0
236,002912118,0.0
237,002912264,29.0
238,002912282,0.0
239,002912316,76.0
240,003112049,9.0
241,003122063,18.0
242,003122077,0.0
243,003122083,0.0
244,003122090,4.0
245,003210149,0.0
246,003222027,26.0
247,003222028,54.0
248,003332053,27.0
249,003342015,42.0
250,003412085,3.0
251,003452002,11.0
252,003452010,3.0
253,003512047,37.0
254,003632034,92.0
255,003712033,31.0
256,003722051,83.0
257,003812035,34.0
258,003812036,105.0
259,004122066,12.0
260,005111146,0.0
261,005141032,5.0
262,005222012,96.0
263,005332132,16.0
264,005342037,86.0
265,005411031,1.0
266,005412116,17.0
267,005412221,0.0
268,005511131,12.0
269,005522020,0.0
270,005522050,49.0
271,005652029,1.0
272,005711086,22.0
273,005752067,17.0
274,006112072,21.0
275,006112114,28.0
276,006112388,59.0
277,006112396,58.0
278,006112433,3.0
279,006112434,45.0
280,006112435,25.0
281,006112436,39.0
282,006121155,53.0
283,006122048,520.0
284,006122292,54.0
285,006122540,15.0
286,006122632,0.0
287,006122698,72.0
288,006122735,45.0
289,006122736,9.0
290,006122762,0.0
291,006122763,35.0
292,006122772,10.0
293,006122773,33.0
294,006132191,1.0
295,006132195,38.0
296,006141027,48.0
297,006142101,29.0
298,006152160,18.0
299,006152189,59.0
300,006152195,0.0
301,006152218,8.0
302,006152221,48.0
303,006152301,23.0
304,006152313,0.0
305,006152332,40.0
306,006152517,11.0
307,006152550,52.0
308,006152598,4.0
309,006152634,0.0
310,006152645,25.0
311,006152647,8.0
312,006152658,19.0
313,006152667,1.0
314,006152668,41.0
315,006152669,128.0
316,006152670,112.0
317,006152671,101.0
318,006212125,2.0
319,006212360,37.0
320,006212398,3.0
321,006212467,7.0
322,006212477,0.0
323,006212495,21.0
324,006212514,0.0
325,006212541,0.0
326,006212579,0.0
327,006212589,17.0
328,006212590,28.0
329,006222235,0.0
330,006222236,31.0
331,006232219,0.0
332,006232230,4.0
333,006232244,12.0
334,006232260,1.0
335,006232262,175.0
336,006232263,22.0
337,006252219,0.0
338,006252378,6.0
339,006252382,36.0
340,006252391,2.0
341,006312039,4.0
342,006312116,1.0
343,006312500,2.0
344,006312535,27.0
345,006312559,6.0
346,006312570,20.0
347,006322157,119.0
348,006322190,37.0
349,006322269,26.0
350,006322270,160.0
351,006322334,29.0
352,006322338,59.0
353,006331012,15.0
354,006332200,13.0
355,006332288,14.0
356,006332295,0.0
357,006342072,75.0
358,006342084,21.0
359,006342087,0.0
360,006412148,0.0
361,006412190,127.0
362,006412327,31.0
363,006412555,30.0
364,006412644,0.0
365,006412666,18.0
366,006412670,2.0
367,006412675,39.0
368,006412677,37.0
369,006412678,67.0
370,006422007,41.0
371,006422044,117.0
372,006432044,30.0
373,006432132,18.0
374,006452035,42.0
375,006452136,8.0
376,006452139,38.0
377,006512336,15.0
378,006512348,6.0
379,006512415,28.0
380,006522053,108.0
381,006542018,23.0
382,006552073,33.0
383,006612107,48.0
384,006612335,1.0
385,006612343,91.0
386,006612346,80.0
387,006612356,44.0
388,006621006,6.0
389,006622158,81.0
390,006622170,0.0
391,006622194,92.0
392,006631018,32.0
393,006632263,0.0
394,006632266,0.0
395,006632270,16.0
396,006632274,14.0
397,006632289,19.0
398,006632291,0.0
399,006632294,23.0
400,006632296,1.0
401,006632298,69.0
402,006632299,56.0
403,006652135,30.0
404,006652146,0.0
405,006652156,98.0
406,006712061,3.0
407,006712073,6.0
408,006712234,1.0
409,006722126,3.0
410,006722275,67.0
411,006732092,2.0
412,006732117,14.0
413,006752151,33.0
414,006752152,43.0
415,006811119,77.0
416,006812142,47.0
417,006812210,0.0
418,006812330,27.0
419,006812417,36.0
420,006812423,0.0
421,006812436,4.0
422,006812442,57.0
423,006812445,21.0
424,006852180,13.0
425,006852232,61.0
426,006912130,25.0
427,006912175,30.0
428,006922021,37.0
429,006991031,20.0
430,007122101,56.0
431,007132022,38.0
432,007152034,12.0
433,007152105,63.0
434,007152106,74.0
435,007152107,114.0
436,007212075,59.0
437,007212076,50.0
438,007232028,22.0
439,007232030,41.0
440,007252061,48.0
441,007252062,61.0
442,007312039,1.0
443,007332035,1.0
444,007332040,273.0
445,007512075,10.0
446,007622027,0.0
447,007632028,123.0
448,007722036,55.0
449,007752020,3.0
450,007812052,114.0
451,007812053,46.0
452,007812054,188.0
453,007852032,5.0
454,007912024,51.0
455,008511077,48.0
456,009111022,4.0
457,009112082,5.0
458,009112196,39.0
459,009121106,68.0
460,009122300,74.0
461,009122305,106.0
462,009122352,3.0
463,009122365,27.0
464,009132090,6.0
465,009152041,34.0
466,009152287,27.0
467,009152288,66.0
468,009212167,100.0
469,009212205,11.0
470,009212273,81.0
471,009232092,1.0
472,009251021,45.0
473,009252084,0.0
474,009252149,4.0
475,009252182,26.0
476,009252183,40.0
477,009312200,3.0
478,009332109,0.0
479,009332119,14.0
480,009412264,0.0
481,009432031,37.0
482,009442018,3.0
483,009451010,30.0
484,009452046,0.0
485,009522045,0.0
486,009551003,2.0
487,009552041,0.0
488,009622078,51.0
489,009712162,51.0
490,009722100,232.0
491,009722108,31.0
492,009752074,2.0
493,009912085,0.0
494,009912089,9.0
495,009922014,91.0
496,010112176,37.0
497,010122267,1.0
498,010122291,69.0
499,010212214,0.0
500,010221108,1.0
501,010312194,1.0
502,010312223,0.0
503,010321078,0.0
504,010342016,0.0
505,010412119,108.0
506,010412247,3.0
507,010412248,0.0
508,010412249,0.0
509,010612104,0.0
510,010711001,5.0
511,010712115,1.0
512,010722089,0.0
513,010852087,72.0
514,010912073,61.0
515,011112194,44.0
516,011122167,27.0
517,011122280,1.0
518,011122345,3.0
519,011122349,13.0
520,011122352,19.0
521,011122359,1.0
522,011122360,46.0
523,011152198,48.0
524,011152276,13.0
525,011212243,2.0
526,011212247,32.0
527,011212255,43.0
528,011212259,53.0
529,011222077,36.0
530,011232095,0.0
531,011232096,2.0
532,011252075,29.0
533,011252154,0.0
534,011312019,0.0
535,011312218,38.0
536,011322034,27.0
537,011322099,14.0
538,011322116,155.0
539,011332112,4.0
540,011332113,0.0
541,011332114,42.0
542,011332115,0.0
543,011412215,6.0
544,011412281,0.0
545,011412285,1.0
546,011412288,69.0
547,011432056,4.0
548,011512011,9.0
549,011512028,43.0
550,011512193,0.0
551,011512196,16.0
552,011612101,77.0
553,011612131,0.0
554,011612133,0.0
555,011612135,134.0
556,011632146,0.0
557,011632147,0.0
558,011712051,172.0
559,011712140,53.0
560,011712147,20.0
561,011732048,68.0
562,011812053,63.0
563,011812151,52.0
564,011812160,0.0
565,011852086,14.0
566,011922006,34.0
567,012151053,0.0
568,012152146,43.0
569,012412144,0.0
570,012512077,22.0
571,012542009,23.0
572,012611018,2.0
573,012612073,0.0
574,012712077,32.0
575,012722053,112.0
576,012812110,0.0
577,012812128,24.0
578,014111048,0.0
579,014121052,0.0
580,014122257,0.0
581,014132111,5.0
582,014212302,1.0
583,014222079,1.0
584,014252067,44.0
