,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
0,112093,200006,8640,1,8640,1430000220901,1
3,121059,200006,8640,1,8640,380000323621,1
14,431039,200006,8640,1,8640,1130000059161,1
25,651028,200006,8640,1,8640,110000408341,1
28,711087,200006,8640,1,8640,60000739291,1
32,721111,200006,8640,1,8640,160000639261,1
38,751046,200071,16200,1,16200,390000123721,2
51,1120350,200006,8640,1,8640,60000740121,1
60,1150376,1B2201,28080,1,28080,20001631615,4
66,1310100,200006,8640,1,8640,20001632251,1
71,1321014,200006,8640,1,8640,1430000225961,1
77,1730012,1B2201,28080,1,28080,1430000221561,4
97,2112136,200071,16200,1,16200,1430000219561,2
103,2112528,200006,8640,1,8640,20001635061,1
107,2112548,1B2201,28080,1,28080,1560000026161,4
120,2112676,1A1501,105840,1,105840,20001635392,5
129,2120206,200006,8640,1,8640,20001634771,1
134,2122338,200071,16200,1,16200,2050000006581,2
148,2122370,200006,8640,1,8640,380000323191,1
155,2122607,1B2201,28080,1,28080,20001636466,4
160,2122737,200006,8640,1,8640,380000322581,1
165,2122874,200006,8640,1,8640,20001634382,1
166,2122990,200006,8640,1,8640,1940000026781,1
169,2123168,1B2201,28080,1,28080,20001635761,4
180,2123192,1B2201,28080,1,28080,20001627852,4
191,2123228,200071,16200,1,16200,20001628011,2
196,2123228,1B2201,28080,1,28080,20001628016,4
214,2123298,1A1501,105840,1,105840,20001632841,5
221,2123300,200071,16200,1,16200,20001635851,2
230,2140012,200006,8640,1,8640,20001628272,1
245,2152059,1B2201,28080,1,28080,20001638073,4
253,2152833,200006,8640,1,8640,1430000223161,1
257,2152849,1B2201,28080,1,28080,380000322711,4
263,2152955,200006,8640,1,8640,20001632571,1
279,2153095,200006,8640,1,8640,280000297633,1
280,2153138,1B2201,28080,1,28080,20001636761,4
294,2153173,200006,8640,1,8640,20001630051,1
307,2153177,200071,16200,1,16200,20001634661,2
310,2212263,1B2201,28080,1,28080,1430000220271,4
325,2212894,200071,16200,1,16200,1200000289611,2
344,2212976,1A1501,105840,1,105840,20001631632,5
346,2212976,1B2201,28080,1,28080,20001631634,4
356,2212978,200006,8640,1,8640,20001638001,1
365,2212979,1A1601,82080,1,82080,20001637641,3
376,2222307,1B2201,28080,1,28080,550000201091,4
382,2222375,1B2201,28080,1,28080,20001634741,4
394,2222401,1A1601,82080,1,82080,20001629452,3
409,2232383,1B2201,28080,1,28080,20001627972,4
413,2232387,1A1501,105840,1,105840,20001635881,5
414,2232387,1B2201,28080,1,28080,20001635882,4
422,2232388,1A1501,105840,1,105840,20001638911,5
424,2242010,200071,16200,1,16200,550000202251,2
426,2251012,1B2201,28080,1,28080,110000408411,4
427,2251240,1B2201,28080,1,28080,20001631661,4
435,2252292,1A1601,82080,1,82080,160000635981,3
438,2252456,200071,16200,1,16200,20001629211,2
441,2252531,200006,8640,1,8640,1430000221971,1
464,2252708,200071,16200,1,16200,20001636161,2
471,2311149,200071,16200,1,16200,290000367201,2
477,2312708,1B2201,28080,1,28080,20001628351,4
484,2312793,1B2201,28080,1,28080,20001631043,4
494,2312794,200006,8640,1,8640,160000637971,1
500,2312875,200006,8640,1,8640,20001634871,1
